Symbol,Company Name,Sector,Industry,Country,Region,Zip Code
AA,Alcoa Corporation,Basic Materials,Aluminum,United States,PA,15212-5858
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,CA,95051
AAMC,Altisource Asset Management Corporation,Financial Services,Mortgage Finance,United States,VI,820
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,United States,NC,27609
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,United States,TN,37203
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturersâ€”General,United States,IL,60064-6400
AAT,"American Assets Trust, Inc.",Real Estate,REITâ€”Diversified,United States,CA,92121-1069
AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,United States,GA,30339-3182
AACT,Ares Acquisition Corporation II,Financial Services,Shell Companies,United States,NY,10167
ABCB,Ameris Bancorp,Financial Services,Banksâ€”Regional,United States,GA,30305
ABEV,Ambev S.A.,Consumer Defensive,Beveragesâ€”Brewers,Brazil,SP,04530-001
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,United States,NY,10006
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,GA,30097
AC,"Associated Capital Group, Inc.",Financial Services,Asset Management,United States,CT,6830
ABR,"Arbor Realty Trust, Inc.",Real Estate,REITâ€”Mortgage,United States,NY,11553
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,United States,IL,60047
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,United States,TX,75201
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,United States,IL,60527
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,United States,CA,95134
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,United States,ID,83706
ACM,AECOM,Industrials,Engineering & Construction,United States,TX,75240
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,IL,60064-6400
ACR,ACRES Commercial Realty Corp.,Real Estate,REITâ€”Mortgage,United States,NY,11556
ACRE,Ares Commercial Real Estate Corporation,Real Estate,REITâ€”Mortgage,United States,NY,10167
ACV,Virtus Diversified Income & Convertible Fund,Financial Services,Asset Management,United States,NY,10019
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,IL,60601
ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,United States,CT,6484
ADC,Agree Realty Corporation,Real Estate,REITâ€”Retail,United States,MI,48073
ADRT,Ault Disruptive Technologies Corporation,Financial Services,Shell Companies,United States,NV,89141
ADT,ADT Inc.,Industrials,Security & Protection Services,United States,FL,33431
ADX,"Adams Diversified Equity Fund, Inc.",Financial Services,Asset Management,United States,MD,21202
AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Refining & Marketing,United States,TX,77027
AEE,Ameren Corporation,Utilities,Utilitiesâ€”Regulated Electric,United States,MO,63103
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,ON,M5C 2Y7
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,United States,PA,15203-2329
AEON,"AEON Biopharma, Inc.",Healthcare,Biotechnology,United States,CA,92614
AES,The AES Corporation,Utilities,Utilitiesâ€”Diversified,United States,VA,22203
AEVA,"Aeva Technologies, Inc.",Technology,Softwareâ€”Infrastructure,United States,CA,94043
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",Financial Services,Asset Management,United States,TN,37203
AFG,"American Financial Group, Inc.",Financial Services,Insuranceâ€”Property & Casualty,United States,OH,45202
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,United States,TX,78730
AFL,Aflac Incorporated,Financial Services,Insuranceâ€”Life,United States,GA,31999
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,BC,V6C 3L2
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,United States,GA,30096
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,ON,M5J 2T3
AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,United States,TX,78723
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,United States,DC,20037
AGR,"Avangrid, Inc.",Utilities,Utilitiesâ€”Regulated Electric,United States,CT,6477
AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,United States,NV,89118-3502
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REITâ€”Diversified,United States,VA,23462-3039
AGX,"Argan, Inc.",Industrials,Engineering & Construction,United States,MD,20850
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REITâ€”Hotel & Motel,United States,TX,75254-4308
AI,"C3.ai, Inc.",Technology,Softwareâ€”Application,United States,CA,94063
AHR,"American Healthcare REIT, Inc.",Real Estate,REITâ€”Healthcare Facilities,United States,CA,92612-7106
AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,United States,FL,34473
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,United States,NH,3867
AIRI,Air Industries Group,Industrials,Aerospace & Defense,United States,NY,11706
AIG,"American International Group, Inc.",Financial Services,Insuranceâ€”Diversified,United States,NY,10020
AIR,AAR Corp.,Industrials,Aerospace & Defense,United States,IL,60191
AIV,Apartment Investment and Management Company,Real Estate,REITâ€”Residential,United States,CO,80237-2632
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,United States,OH,44115
AIZ,"Assurant, Inc.",Financial Services,Insuranceâ€”Property & Casualty,United States,GA,30339-2210
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,IL,60008-4050
AJX,Great Ajax Corp.,Real Estate,REITâ€”Mortgage,United States,OR,97223
AKA,a.k.a. Brands Holding Corp.,Consumer Cyclical,Apparel Retail,United States,CA,94104
AKR,Acadia Realty Trust,Real Estate,REITâ€”Retail,United States,NY,10580-1412
AL,Air Lease Corporation,Industrials,Rental & Leasing Services,United States,CA,90067
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,United States,NC,28209
ALE,"ALLETE, Inc.",Utilities,Utilitiesâ€”Diversified,United States,MN,55802-2093
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,United States,TX,78155
ALIT,"Alight, Inc.",Technology,Softwareâ€”Application,United States,IL,60069
ALL,The Allstate Corporation,Financial Services,Insuranceâ€”Property & Casualty,United States,IL,60062
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,United States,WA,98188
ALLY,Ally Financial Inc.,Financial Services,Credit Services,United States,MI,48226
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,United States,IN,46222
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,United States,MI,48150
ALEX,"Alexander & Baldwin, Inc.",Real Estate,REITâ€”Retail,United States,HI,96801-3924
ALUR,Allurion Technologies Inc.,Healthcare,Medical Devices,United States,MA,1760
ALX,"Alexander's, Inc.",Real Estate,REITâ€”Retail,United States,NJ,07652-5108
AMBC,"Ambac Financial Group, Inc.",Financial Services,Insuranceâ€”Specialty,United States,NY,10007
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,United States,CO,80202
AMBI,Ambipar Emergency Response,Industrials,Waste Management,Brazil,SP,01228-200
AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,United States,CA,95014
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,United States,KS,66211
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,United States,PA,19312-1177
AMH,American Homes 4 Rent,Real Estate,REITâ€”Residential,United States,NV,89119-4012
AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,United States,TX,75019
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,United States,FL,33401
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,United States,MN,55474
AMPX,"Amprius Technologies, Inc.",Industrials,Electrical Equipment & Parts,United States,CA,94538
AMPS,"Altus Power, Inc.",Utilities,Utilitiesâ€”Renewable,United States,CT,6902
AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,United States,TX,77002
AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,United States,CA,94111-2619
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,Coking Coal,United States,TN,37620
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,United States,MA,1701
AMT,American Tower Corporation,Real Estate,REITâ€”Specialty,United States,MA,02116-5749
AMTB,Amerant Bancorp Inc.,Financial Services,Banksâ€”Regional,United States,FL,33134
AMX,"AmÃ©rica MÃ³vil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico,DF,11529
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,FL,33301
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,United States,CA,95054
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,United States,OH,43054
ANRO,"Alto Neuroscience, Inc.",Healthcare,Biotechnology,United States,CA,94022
ANVS,"Annovis Bio, Inc.",Healthcare,Biotechnology,United States,PA,19355
AMWL,American Well Corporation,Healthcare,Health Information Services,United States,MA,2109
AOMR,"Angel Oak Mortgage REIT, Inc.",Real Estate,REITâ€”Mortgage,United States,GA,30326
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,United States,WI,53224-9508
AORT,"Artivion, Inc.",Healthcare,Medical Devices,United States,GA,30144
APAM,Artisan Partners Asset Management Inc.,Financial Services,Asset Management,United States,WI,53202
APH,Amphenol Corporation,Technology,Electronic Components,United States,CT,6492
AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,United States,PA,15106
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,United States,PA,18106-5500
APLE,"Apple Hospitality REIT, Inc.",Real Estate,REITâ€”Hotel & Motel,United States,VA,23219-3306
APG,APi Group Corporation,Industrials,Engineering & Construction,United States,MN,55112
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,United States,NY,10019
APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,ON,L4G 1H6
